Date,City,Temperature,Weather Description
2000-01-16,Seattle,40.654583333333335,overcast clouds
2000-01-17,Chicago,24.04041666666667,light snow
2000-01-17,Houston,63.932916666666664,broken clouds
2000-01-17,Los Angeles,63.07874999999999,overcast clouds
2000-01-17,Miami,66.19666666666667,scattered clouds
2000-01-17,New York,17.27,sky is clear
2000-01-17,Phoenix,63.2075,scattered clouds
2000-01-17,Seattle,42.29666666666667,light rain
2000-01-18,Chicago,26.456,light snow
2000-01-18,Houston,66.51,scattered clouds
2000-01-18,Los Angeles,66.89333333333333,overcast clouds
2000-01-18,Miami,66.2328,sky is clear
2000-01-18,New York,10.740833333333333,sky is clear
2000-01-18,Phoenix,66.85625,overcast clouds
2000-01-18,Seattle,39.15125,scattered clouds
2000-01-19,Chicago,26.059615384615384,sky is clear
2000-01-19,Houston,67.5084,broken clouds
2000-01-19,Los Angeles,65.4425,overcast clouds
2000-01-19,Miami,66.92692307692307,few clouds
2000-01-19,New York,20.209166666666665,overcast clouds
2000-01-19,Phoenix,64.96625,broken clouds
2000-01-19,Seattle,38.27708333333333,sky is clear
2000-01-20,Chicago,19.962758620689655,fog
2000-01-20,Houston,62.28041666666667,broken clouds
2000-01-20,Los Angeles,63.87708333333333,overcast clouds
2000-01-20,Miami,69.58791666666666,scattered clouds
2000-01-20,New York,26.15225,scattered clouds
2000-01-20,Phoenix,63.57041666666667,scattered clouds
2000-01-20,Seattle,39.31916666666667,overcast clouds
2000-01-21,Chicago,6.457916666666667,sky is clear
2000-01-21,Houston,50.768750000000004,few clouds
2000-01-21,Los Angeles,60.73875,overcast clouds
2000-01-21,Miami,62.30291666666667,scattered clouds
2000-01-21,New York,19.27037037037037,fog
2000-01-21,Phoenix,63.69416666666667,scattered clouds
2000-01-21,Seattle,41.955416666666665,light rain
2000-01-22,Chicago,14.728285714285715,broken clouds
2000-01-22,Houston,63.62111111111111,overcast clouds
2000-01-22,Los Angeles,56.55375,overcast clouds
2000-01-22,Miami,62.71416666666667,sky is clear
2000-01-22,New York,13.105833333333335,few clouds
2000-01-22,Phoenix,62.567083333333336,overcast clouds
2000-01-22,Seattle,42.095,broken clouds
2000-01-23,Chicago,20.76875,mist
2000-01-23,Houston,65.64071428571428,overcast clouds
2000-01-23,Los Angeles,57.85375,overcast clouds
2000-01-23,Miami,69.47666666666667,few clouds
2000-01-23,New York,21.607083333333335,broken clouds
2000-01-23,Phoenix,57.942499999999995,scattered clouds
2000-01-23,Seattle,39.940416666666664,scattered clouds
2000-01-24,Chicago,6.328749999999999,few clouds
2000-01-24,Houston,55.58416666666667,few clouds
2000-01-24,Los Angeles,62.213750000000005,overcast clouds
2000-01-24,Miami,71.1832,sky is clear
2000-01-24,New York,30.25464285714286,light snow
2000-01-24,Phoenix,60.38125,scattered clouds
2000-01-24,Seattle,38.91916666666666,sky is clear
2000-01-25,Chicago,16.09375,few clouds
2000-01-25,Houston,48.345416666666665,broken clouds
2000-01-25,Los Angeles,62.025416666666665,broken clouds
2000-01-25,Miami,57.43125,scattered clouds
2000-01-25,New York,28.47763157894737,overcast clouds
2000-01-25,Phoenix,63.697916666666664,overcast clouds
2000-01-25,Seattle,42.03958333333333,light rain
2000-01-26,Chicago,15.332799999999999,broken clouds
