Movie Title,Domestic Revenue ($),Genre,Leading Actor,Supporting Actor,Film Rating,Release Date,Miami Revenue ($),Chicago Revenue ($),Houston Revenue ($),Phoenix Revenue ($),Los Angeles Revenue ($),New York Revenue ($),Seattle Revenue ($),Chicago Temperature,Houston Temperature,Los Angeles Temperature,Miami Temperature,New York Temperature,Phoenix Temperature,Seattle Temperature,Chicago Weather Description,Houston Weather Description,Los Angeles Weather Description,Miami Weather Description,New York Weather Description,Phoenix Weather Description,Seattle Weather Description
Spring Breakers,14124284,Crime,Vanessa Hudgens,Selena Gomez,R,2012-03-06,"$5,697.96","$40,295.71","$30,845.03","$21,869.00","$55,376.83","$119,350.62","$9,040.30",41.370416666666664,64.705,58.548750000000005,69.79416666666667,32.83416666666667,68.13833333333334,38.35208333333333,overcast clouds,sky is clear,sky is clear,few clouds,sky is clear,scattered clouds,light rain
Spy Game,62362560,Action,Robert Redford,Brad Pitt,R,2001-11-21,$10.84,$76.66,$58.68,$41.61,$105.36,$227.07,$17.20,43.284166666666664,50.83916666666667,65.10958333333333,72.06708333333333,40.10125,66.13666666666667,50.03958333333333,broken clouds,overcast clouds,sky is clear,overcast clouds,few clouds,scattered clouds,light rain
Starsky & Hutch,88237754,Comedy,Ben Stiller,Owen Wilson,PG-13,2004-03-05,"$35,597.81","$251,745.97","$192,703.20","$136,625.76","$345,964.73","$745,638.65","$56,478.96",45.781,66.49,59.752916666666664,75.65583333333333,44.85822222222222,54.12407407407407,44.81125,moderate rain,overcast clouds,sky is clear,few clouds,haze,light rain,broken clouds
Step Up,65328121,Crime,Channing Tatum,Jenna Dewan,PG-13,2006-08-11,"$26,355.36","$186,383.83","$142,670.66","$101,152.89","$256,140.09","$552,044.56","$41,815.03",73.49875,81.77541666666666,79.19375000000001,83.34083333333334,70.55730769230769,93.18333333333334,61.29291666666666,light rain,overcast clouds,scattered clouds,few clouds,heavy intensity rain,scattered clouds,broken clouds
Street Kings,26418667,Action,Keanu Reeves,Forest Whitaker,R,2008-04-10,"$10,658.10","$75,373.55","$57,695.96","$40,906.19","$103,582.95","$223,246.61","$16,909.98",41.01548387096774,75.71625,60.53208333333333,75.7525,57.2672,65.87791666666666,46.0925,overcast clouds,overcast clouds,sky is clear,scattered clouds,overcast clouds,few clouds,overcast clouds
Sugar & Spice,13305101,Comedy,Marla Sokoloff,Marley Shelton,PG-13,2001-01-26,"$5,356.33","$37,879.70","$28,995.65","$20,557.80","$52,056.60","$112,194.71","$8,498.27",24.363125,59.415925925925926,48.24666666666667,59.79624999999999,27.457916666666662,48.576249999999995,41.83375,few clouds,broken clouds,few clouds,scattered clouds,sky is clear,scattered clouds,broken clouds
Super,327716,Action,Rainn Wilson,Ellen Page,R,2010-04-01,$129.97,$919.13,$703.56,$498.82,"$1,263.12","$2,722.33",$206.21,67.19208333333334,67.26458333333333,54.3675,69.085,55.72708333333333,65.10041666666667,44.845416666666665,broken clouds,broken clouds,sky is clear,sky is clear,few clouds,scattered clouds,broken clouds
Super Troopers,18492362,Comedy,Jay Chandrasekhar,Kevin Heffernan,R,2001-02-15,"$7,458.75","$52,747.93","$40,376.79","$28,626.97","$72,489.43","$156,232.46","$11,833.95",26.00925925925926,71.29533333333333,48.38166666666667,74.44208333333333,43.439,46.701851851851856,41.322916666666664,mist,overcast clouds,broken clouds,few clouds,light rain,light rain,overcast clouds
Super Troopers 2,30617396,Comedy,Jay Chandrasekhar,Kevin Heffernan,R,2018-04-19,"$12,351.99","$87,352.70","$66,865.60","$47,407.43","$120,045.43","$258,727.28","$19,597.49",37.01931034482759,73.295,58.28458333333333,75.85125,45.58807692307692,71.15875,49.08583333333333,light snow,overcast clouds,sky is clear,few clouds,sky is clear,few clouds,overcast clouds
SuperFly,20545116,Action,Trevor Jackson,Jason Mitchell,R,2018-06-13,"$8,288.53","$58,616.07","$44,868.66","$31,811.69","$80,553.79","$173,613.13","$13,150.46",70.86708333333333,86.0675,73.42,81.51166666666667,68.2476,97.06833333333331,58.83083333333334,overcast clouds,scattered clouds,sky is clear,broken clouds,sky is clear,broken clouds,overcast clouds
Suspect Zero,8725813,Crime,Aaron Eckhart,Ben Kingsley,R,2004-08-27,"$3,520.26","$24,895.11","$19,056.38","$13,510.89","$34,212.38","$73,736.05","$5,585.19",78.26208333333334,84.4475,72.86840000000001,83.1044,73.87916666666666,91.52958333333332,62.80583333333333,broken clouds,scattered clouds,sky is clear,scattered clouds,sky is clear,sky is clear,moderate rain
Swordfish,69772969,Action,John Travolta,Hugh Jackman,R,2001-06-08,"$28,148.55","$199,065.17","$152,377.80","$108,035.21","$273,567.55","$589,605.01","$44,660.08",62.39875,78.29518518518518,76.57625,80.44916666666667,70.73791666666666,94.15375,60.7,scattered clouds,light rain,scattered clouds,scattered clouds,broken clouds,few clouds,broken clouds
Taken,145000989,Action,Liam Neeson,Maggie Grace,PG-13,2008-02-27,"$58,497.84","$413,693.82","$316,668.93","$224,516.93","$568,523.41","$1,225,307.04","$92,811.81",19.6975,48.01499999999999,65.36166666666666,71.20166666666667,40.53961538461538,64.12458333333333,48.084583333333335,overcast clouds,sky is clear,sky is clear,scattered clouds,moderate rain,few clouds,overcast clouds
Taken 2,139854287,Action,Liam Neeson,Famke Janssen,PG-13,2012-09-27,"$56,421.50","$399,010.07","$305,429.00","$216,547.87","$548,344.09","$1,181,815.68","$89,517.52",58.20416666666667,81.46124999999999,69.27166666666666,81.82037037037037,68.69740740740741,84.40083333333334,57.56166666666667,scattered clouds,few clouds,sky is clear,overcast clouds,broken clouds,few clouds,few clouds
Taken 3,89256424,Action,Liam Neeson,Forest Whitaker,PG-13,2014-01-01,"$36,008.77","$254,652.27","$194,927.89","$138,203.05","$349,958.76","$754,246.75","$57,130.99",18.91945945945946,53.18625,55.49916666666667,76.64583333333333,28.92625,54.4625,41.79291666666666,snow,sky is clear,sky is clear,overcast clouds,sky is clear,few clouds,overcast clouds
Takers,57744720,Action,Chris Brown,Hayden Christensen,PG-13,2010-03-05,"$23,295.99","$164,748.08","$126,109.20","$89,410.89","$226,406.90","$487,962.27","$36,961.07",30.692916666666665,55.45,55.19958333333333,54.82875000000001,40.216,57.91833333333333,45.715,few clouds,few clouds,sky is clear,scattered clouds,overcast clouds,scattered clouds,overcast clouds
Taking Lives,32682342,Crime,Angelina Jolie,Ethan Hawke,R,2004-03-19,"$13,185.06","$93,244.07","$71,375.25","$50,604.75","$128,141.72","$276,176.76","$20,919.22",36.153749999999995,70.2224,65.87791666666666,72.57708333333333,35.60311111111111,74.98125,43.868750000000006,overcast clouds,scattered clouds,broken clouds,scattered clouds,sky is clear,scattered clouds,light rain
The American,35606376,Crime,George Clooney,Paolo Bonacelli,R,2010-09-01,"$14,364.70","$101,586.46","$77,761.08","$55,132.27","$139,606.35","$300,885.83","$22,790.83",77.37370370370371,83.18458333333334,74.57000000000001,84.42791666666666,82.5775,88.49874999999999,59.58041666666667,scattered clouds,sky is clear,sky is clear,scattered clouds,scattered clouds,few clouds,light rain
The Art of War,30208599,Action,Wesley Snipes,Anne Archer,R,2000-08-25,"$12,187.07","$86,186.38","$65,972.82","$46,774.45","$118,442.61","$255,272.80","$19,335.83",73.30083333333333,80.99166666666666,81.67416666666666,83.34958333333334,71.29692307692308,92.3475,64.8475,scattered clouds,overcast clouds,scattered clouds,scattered clouds,scattered clouds,scattered clouds,sky is clear
The Assassination of Jesse James by the Coward Robert Ford,3909149,Biography,Brad Pitt,Casey Affleck,R,2007-09-21,"$1,575.39","$11,141.08","$8,528.12","$6,046.40","$15,310.75","$32,998.41","$2,499.49",74.85666666666667,76.97833333333334,65.25375,81.62416666666667,72.415,86.82666666666667,56.07375,few clouds,scattered clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,overcast clouds
The Black Dahlia,22545080,Crime,Josh Hartnett,Aaron Eckhart,R,2006-09-15,"$9,084.58","$64,245.71","$49,177.97","$34,866.97","$88,290.40","$190,287.41","$14,413.46",66.91,80.788,68.765,81.51375,67.68621621621621,85.87916666666666,53.63916666666666,few clouds,scattered clouds,broken clouds,scattered clouds,overcast clouds,scattered clouds,moderate rain
The Caveman's Valentine,687194,Crime,Samuel L. Jackson,Colm Feore,R,2001-03-02,$277.24,"$1,960.59","$1,500.77","$1,064.04","$2,694.37","$5,807.02",$439.86,34.034,51.85952380952381,52.79749999999999,72.8832,33.93628571428572,52.50375,41.04916666666667,overcast clouds,light rain,sky is clear,scattered clouds,overcast clouds,few clouds,moderate rain
The Cell,61334059,Horror,Jennifer Lopez,Vince Vaughn,R,2000-08-18,"$24,744.04","$174,988.61","$133,947.99","$94,968.56","$240,480.07","$518,293.39","$39,258.53",69.49600000000001,84.73208333333334,82.08,80.62769230769231,66.29125,89.7725,60.826249999999995,overcast clouds,sky is clear,few clouds,scattered clouds,broken clouds,scattered clouds,few clouds
The Conspirator,11538204,Crime,Robin Wright,James McAvoy,PG-13,2010-04-15,"$4,654.86","$32,918.97","$25,198.38","$17,865.55","$45,239.27","$97,501.70","$7,385.34",69.54541666666667,70.22500000000001,61.76791666666667,73.9975,60.79916666666667,71.55708333333334,50.319583333333334,scattered clouds,sky is clear,sky is clear,scattered clouds,sky is clear,scattered clouds,overcast clouds
The Counselor,16973715,Crime,Michael Fassbender,Penélope Cruz,R,2013-10-25,"$6,847.72","$48,426.71","$37,069.04","$26,281.80","$66,550.95","$143,433.59","$10,864.49",40.07458333333333,67.66666666666667,65.16875,77.42,46.11375,74.34458333333333,50.89458333333334,overcast clouds,sky is clear,sky is clear,light rain,sky is clear,scattered clouds,sky is clear
The Crew,13023075,Comedy,Richard Dreyfuss,Burt Reynolds,PG-13,2000-08-25,"$5,252.37","$37,144.47","$28,432.86","$20,158.78","$51,046.20","$110,017.06","$8,333.33",73.30083333333333,80.99166666666666,81.67416666666666,83.34958333333334,71.29692307692308,92.3475,64.8475,scattered clouds,overcast clouds,scattered clouds,scattered clouds,scattered clouds,scattered clouds,sky is clear
The Crimson Rivers,594966,Crime,Jean Reno,Vincent Cassel,R,2000-01-26,$255.19,"$1,804.69","$1,381.43",$979.43,"$2,480.11","$5,345.24",$404.88,15.3328,47.405833333333334,58.5625,57.12416666666667,26.498709677419356,65.83916666666667,41.06125,broken clouds,broken clouds,light rain,scattered clouds,snow,scattered clouds,broken clouds
The Curse of the Jade Scorpion,7517191,Comedy,Greg Stebner,Woody Allen,PG-13,2001-08-24,"$3,024.33","$21,387.89","$16,371.72","$11,607.48","$29,392.55","$63,348.13","$4,798.35",73.41916666666667,83.15791666666667,73.935,82.14958333333333,72.28820512820513,92.99375,59.55375,haze,broken clouds,sky is clear,scattered clouds,mist,sky is clear,light rain
The Dark Knight,535234033,Action,Christian Bale,Heath Ledger,PG-13,2008-07-16,"$215,778.26","$1,525,973.28","$1,168,082.04","$828,165.23","$2,097,086.00","$4,519,733.43","$342,350.63",81.64625,84.25875,78.70416666666667,80.40458333333333,79.47500000000001,94.50291666666668,65.74625,few clouds,broken clouds,sky is clear,overcast clouds,few clouds,scattered clouds,sky is clear
The Deep End,8823109,Crime,Tilda Swinton,Goran Visnjic,R,2001-08-10,"$3,558.98","$25,168.91","$19,265.97","$13,659.49","$34,588.66","$74,547.02","$5,646.62",76.28615384615385,84.51,76.16208333333333,82.7992,86.73925925925926,87.30958333333332,69.545,light rain,few clouds,sky is clear,scattered clouds,scattered clouds,scattered clouds,sky is clear
The Departed,132384315,Crime,Leonardo DiCaprio,Matt Damon,R,2006-10-05,"$53,407.88","$377,697.93","$289,115.26","$204,981.50","$519,055.64","$1,118,691.91","$84,736.17",55.88333333333333,79.4825,67.38958333333333,79.12280000000001,63.745,87.9225,56.08041666666667,overcast clouds,scattered clouds,sky is clear,light rain,sky is clear,broken clouds,overcast clouds
The Devil's Rejects,17044981,Horror,Sid Haig,Sheri Moon Zombie,R,2005-07-22,"$6,876.47","$48,630.04","$37,224.68","$26,392.14","$66,830.38","$144,035.81","$10,910.10",77.15083333333332,81.6704,85.24458333333332,84.22541666666667,83.16125,99.80791666666666,65.735,heavy intensity rain,broken clouds,sky is clear,overcast clouds,sky is clear,scattered clouds,sky is clear
The Drop,10724389,Crime,Tom Hardy,Noomi Rapace,R,2014-09-12,"$4,326.55","$30,597.13","$23,421.09","$16,605.45","$42,048.45","$90,624.69","$6,864.44",54.76451612903226,81.37137931034482,78.95875,77.6732,70.78958333333334,88.32916666666667,64.16916666666667,overcast clouds,sky is clear,sky is clear,light rain,sky is clear,few clouds,sky is clear
The Equalizer,101530738,Action,Denzel Washington,Marton Csokas,R,2014-09-24,"$40,960.61","$289,671.40","$221,733.87","$157,208.38","$398,084.19","$857,968.82","$64,987.50",63.6125,75.39666666666666,73.75416666666666,79.85416666666667,64.56291666666667,89.95875,63.01,few clouds,sky is clear,sky is clear,broken clouds,sky is clear,few clouds,light rain
The Equalizer 2,102084362,Action,Denzel Washington,Pedro Pascal,R,2018-07-18,"$41,183.96","$291,250.91","$222,942.93","$158,065.60","$400,254.85","$862,647.13","$65,341.86",69.15708333333333,87.26166666666667,77.05916666666667,84.27961538461538,75.42076923076924,92.92541666666666,67.43833333333333,few clouds,sky is clear,sky is clear,light rain,light rain,scattered clouds,sky is clear
The Family,36918811,Comedy,Robert De Niro,Michelle Pfeiffer,R,2013-09-13,"$14,894.18","$105,330.90","$80,627.31","$57,164.43","$144,752.17","$311,976.35","$23,630.88",62.49916666666667,85.21666666666667,73.70791666666666,83.17291666666667,70.48392857142856,89.30541666666666,66.80583333333333,scattered clouds,sky is clear,sky is clear,broken clouds,moderate rain,few clouds,sky is clear
The Fast and the Furious,144533925,Action,Vin Diesel,Paul Walker,PG-13,2001-06-22,"$58,309.41","$412,361.27","$315,648.90","$223,793.74","$566,692.13","$1,221,360.19","$92,512.85",63.33541666666667,78.73,80.95291666666667,78.78387096774195,72.32827586206896,93.45625,60.72416666666667,few clouds,broken clouds,overcast clouds,light intensity shower rain,overcast clouds,light rain,scattered clouds
The Fate of the Furious,226008385,Action,Vin Diesel,Jason Statham,PG-13,2017-04-12,"$91,178.70","$644,811.28","$493,581.69","$349,947.33","$886,139.18","$1,909,846.73","$144,662.79",44.60458333333333,68.06307692307692,64.99833333333333,75.80708333333332,64.49291666666666,75.34583333333333,51.18666666666667,broken clouds,light rain,sky is clear,few clouds,sky is clear,broken clouds,overcast clouds
The Fifth Estate,3255008,Biography,Benedict Cumberbatch,Daniel Brühl,R,2013-10-11,"$1,312.83","$9,284.29","$7,106.81","$5,038.70","$12,759.04","$27,498.85","$2,082.92",64.22416666666668,77.67416666666666,62.36541666666667,80.47875,63.4032,64.54291666666667,51.977916666666665,few clouds,sky is clear,sky is clear,few clouds,light rain,few clouds,overcast clouds
The Gambler,33680992,Crime,Mark Wahlberg,Jessica Lange,R,2014-12-25,"$13,587.94","$96,093.26","$73,556.21","$52,151.04","$132,057.25","$284,615.69","$21,558.43",36.955,52.785,60.3025,72.74142857142857,54.01153846153846,53.48708333333334,42.20041666666666,light intensity drizzle,sky is clear,sky is clear,overcast clouds,mist,broken clouds,light rain
The Ghost Writer,15541549,Drama,Ewan McGregor,Pierce Brosnan,PG-13,2010-02-18,"$6,269.94","$44,340.68","$33,941.32","$24,064.26","$60,935.68","$131,331.31","$9,947.79",33.23625,48.645833333333336,62.9175,56.93291666666667,35.727916666666665,61.409166666666664,45.812083333333334,overcast clouds,sky is clear,sky is clear,scattered clouds,overcast clouds,scattered clouds,sky is clear
The Girl in the Spider's Web,14841338,Action,Claire Foy,Beau Gadsdon,R,2018-10-25,"$5,987.45","$42,342.95","$32,412.13","$22,980.06","$58,190.28","$125,414.29","$9,499.60",45.11833333333333,65.66571428571429,69.28666666666666,78.94916666666667,47.274166666666666,73.02208333333333,56.00541666666666,broken clouds,mist,sky is clear,scattered clouds,sky is clear,broken clouds,overcast clouds
The Girl on the Train,75395035,Crime,Emily Blunt,Haley Bennett,R,2016-10-05,"$30,416.66","$215,105.16","$164,655.88","$116,740.32","$295,610.69","$637,113.36","$48,258.63",69.69625,81.655,66.14874999999999,84.53083333333333,61.51708333333334,73.57458333333334,56.509166666666665,broken clouds,sky is clear,sky is clear,scattered clouds,overcast clouds,sky is clear,light rain
The Girl with the Dragon Tattoo,10095170,Crime,Michael Nyqvist,Noomi Rapace,R,2009-02-27,"$41,358.01","$292,481.80","$223,885.14","$158,733.62","$401,946.42","$866,292.87","$65,618.01",30.86962962962963,73.67125,60.00625,69.93166666666666,48.73374999999999,64.36708333333333,37.96958333333333,moderate rain,scattered clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,broken clouds
The Glass House,18150259,Crime,Diane Lane,Leelee Sobieski,PG-13,2001-09-14,"$7,262.25","$51,358.26","$39,313.05","$27,872.79","$70,579.67","$152,116.45","$11,522.18",59.712916666666665,80.94625,75.12666666666667,79.02714285714286,61.21702702702703,86.34791666666666,63.37916666666666,broken clouds,few clouds,sky is clear,light rain,sky is clear,scattered clouds,scattered clouds
The Good Thief,3517797,Action,Nick Nolte,Ralph Fiennes,R,2002-02-28,"$1,419.19","$10,036.42","$7,682.55","$5,446.89","$13,792.66","$29,726.57","$2,251.66",23.719583333333333,41.32541666666666,62.270833333333336,58.16375,32.80958333333333,65.17625,41.26625,broken clouds,sky is clear,sky is clear,scattered clouds,scattered clouds,overcast clouds,overcast clouds
The Grand Budapest Hotel,59301324,Adventure,Ralph Fiennes,F. Murray Abraham,R,2014-02-26,"$23,842.88","$168,615.65","$129,069.70","$91,509.87","$231,721.97","$499,417.53","$37,828.76",8.182083333333333,54.75259259259259,60.11875,75.58874999999999,27.972083333333337,67.1475,45.42250000000001,few clouds,light rain,sky is clear,light rain,broken clouds,overcast clouds,overcast clouds
The Green Hornet,98780042,Action,Seth Rogen,Jay Chou,PG-13,2011-01-12,"$39,850.89","$281,823.55","$215,726.60","$152,949.25","$387,299.19","$834,724.52","$63,226.84",24.243214285714284,36.985416666666666,56.99041666666667,66.08291666666666,27.971818181818183,54.63333333333333,38.846250000000005,light snow,sky is clear,sky is clear,scattered clouds,overcast clouds,scattered clouds,overcast clouds
The Guard,5360274,Comedy,Brendan Gleeson,Don Cheadle,R,2011-07-08,"$2,162.30","$15,291.66","$11,705.26","$8,298.98","$21,014.73","$45,291.89","$3,430.67",74.58583333333333,85.73583333333333,79.05708333333332,80.95125,76.5252,97.24125,58.52875,broken clouds,few clouds,scattered clouds,light rain,sky is clear,scattered clouds,broken clouds
The Gunman,10664749,Action,Sean Penn,Idris Elba,R,2015-03-12,"$4,292.76","$30,358.20","$23,238.20","$16,475.78","$41,720.10","$89,917.02","$6,810.83",37.755,57.08314285714286,69.58041666666666,76.99333333333333,43.48416666666666,75.9275,55.154583333333335,sky is clear,moderate rain,haze,scattered clouds,few clouds,scattered clouds,overcast clouds
The Hangover Part III,112200072,Comedy,Bradley Cooper,Zach Galifianakis,R,2013-05-23,"$45,264.94","$320,111.45","$245,034.72","$173,728.58","$439,916.77","$948,128.28","$71,816.69",53.31777777777778,80.88625,65.10333333333334,81.9825,70.43035714285715,88.01916666666666,50.525,broken clouds,broken clouds,sky is clear,light rain,haze,few clouds,light rain
The Happytime Murders,20706452,Action,Melissa McCarthy,Elizabeth Banks,R,2018-08-23,"$8,353.62","$59,076.36","$45,221.00","$32,061.50","$81,186.36","$174,976.47","$13,253.73",69.54791666666667,87.89666666666666,77.69500000000001,83.685,73.61749999999999,90.13916666666668,65.48625,few clouds,sky is clear,sky is clear,light rain,few clouds,broken clouds,sky is clear
The Hate U Give,29719483,Crime,Amandla Stenberg,Regina Hall,PG-13,2018-10-05,"$11,989.75","$84,790.92","$64,904.64","$46,017.11","$116,524.87","$251,139.61","$19,022.76",57.479642857142856,83.65,70.46875,82.80416666666666,68.295,76.62583333333333,51.2225,broken clouds,sky is clear,sky is clear,light rain,mist,broken clouds,few clouds
The Hateful Eight,54117416,Crime,Samuel L. Jackson,Kurt Russell,R,2015-12-25,"$21,832.62","$154,399.23","$118,187.50","$83,794.44","$212,184.88","$457,310.33","$34,639.32",39.556666666666665,76.56375,51.95541666666667,78.42958333333333,58.8796,54.29083333333333,39.312916666666666,overcast clouds,overcast clouds,sky is clear,scattered clouds,overcast clouds,scattered clouds,overcast clouds
The Heat,159582188,Action,Sandra Bullock,Michael McDonald,R,2013-06-27,"$64,380.34","$455,294.59","$348,512.94","$247,094.20","$625,693.73","$1,348,523.07","$102,144.90",76.59333333333333,86.60041666666666,75.28291666666667,81.93958333333333,78.48416666666667,95.23708333333332,64.19,overcast clouds,sky is clear,sky is clear,broken clouds,light rain,sky is clear,broken clouds
The Hitman's Bodyguard,75468583,Action,Ryan Reynolds,Samuel L. Jackson,R,2017-08-16,"$30,446.34","$215,314.99","$164,816.50","$116,854.20","$295,899.06","$637,734.86","$48,305.71",71.89125,87.66541666666666,72.36416666666666,87.31541666666668,77.04791666666667,89.73625,66.05,broken clouds,few clouds,sky is clear,light rain,mist,few clouds,sky is clear
