Movie Title,Domestic Revenue ($),Genre,Leading Actor,Supporting Actor,Film Rating,Release Date,Miami Revenue ($),Chicago Revenue ($),Houston Revenue ($),Phoenix Revenue ($),Los Angeles Revenue ($),New York Revenue ($),Seattle Revenue ($),Chicago Temperature,Houston Temperature,Los Angeles Temperature,Miami Temperature,New York Temperature,Phoenix Temperature,Seattle Temperature,Chicago Weather Description,Houston Weather Description,Los Angeles Weather Description,Miami Weather Description,New York Weather Description,Phoenix Weather Description,Seattle Weather Description
The House,25584504,Comedy,Will Ferrell,Amy Poehler,R,2017-06-29,"$10,321.57","$72,993.65","$55,874.22","$39,614.59","$100,312.35","$216,197.65","$16,376.05",72.85958333333333,81.61208333333333,72.18333333333334,82.24959999999999,74.71166666666666,95.81583333333332,63.10166666666667,broken clouds,light rain,sky is clear,light rain,sky is clear,sky is clear,overcast clouds
The Hunted,34244097,Action,Tommy Lee Jones,Benicio Del Toro,R,2003-03-14,"$13,812.90","$97,684.17","$74,774.00","$53,014.45","$134,243.58","$289,327.76","$21,915.35",32.711666666666666,66.1925,62.442499999999995,77.67,30.076,71.42416666666666,52.072916666666664,few clouds,broken clouds,scattered clouds,scattered clouds,mist,scattered clouds,light rain
The Hurricane Heist,6115825,Action,Toby Kebbell,Maggie Grace,PG-13,2018-02-28,"$2,467.31","$17,448.70","$13,356.40","$9,469.63","$23,979.08","$51,680.77","$3,914.60",50.75125,75.80166666666666,49.89625,75.86375,47.57958333333334,51.37807692307692,42.73208333333333,scattered clouds,broken clouds,light rain,broken clouds,sky is clear,light rain,light rain
The Informant!,33316821,Biography,Matt Damon,Tony Hale,R,2009-09-18,"$13,439.72","$95,045.03","$72,753.82","$51,582.15","$130,616.70","$281,510.95","$21,323.26",64.24291666666666,76.97500000000001,78.6775,82.96416666666667,63.20875,88.44208333333334,62.37833333333333,few clouds,broken clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,sky is clear
The International,25450527,Action,Clive Owen,Naomi Watts,R,2009-02-12,"$10,267.52","$72,611.41","$55,581.63","$39,407.14","$99,787.05","$215,065.50","$16,290.30",35.8704,59.912083333333335,52.25,73.35625,52.572399999999995,51.65166666666667,38.42458333333334,light rain,sky is clear,broken clouds,few clouds,sky is clear,scattered clouds,scattered clouds
The Interpreter,72708161,Crime,Nicole Kidman,Sean Penn,PG-13,2005-04-08,"$29,332.70","$207,439.39","$158,787.99","$112,580.01","$285,075.93","$614,408.37","$46,538.83",44.07583333333333,67.54,59.255833333333335,72.91935483870968,59.47032258064516,76.12708333333333,46.33041666666667,sky is clear,few clouds,sky is clear,overcast clouds,sky is clear,broken clouds,light rain
The Italian Job,106128601,Action,Donald Sutherland,Mark Wahlberg,PG-13,2003-05-30,"$42,815.53","$302,789.29","$231,775.18","$164,327.62","$416,111.60","$896,822.31","$67,930.49",59.053333333333335,83.07166666666667,70.75541666666666,77.96875,66.95416666666667,92.51291666666668,58.19708333333333,overcast clouds,sky is clear,sky is clear,scattered clouds,scattered clouds,scattered clouds,scattered clouds
The Judge,47119388,Crime,Robert Downey Jr.,Robert Duvall,R,2014-10-09,"$19,009.40","$134,433.56","$102,904.44","$72,958.82","$184,746.84","$398,174.65","$30,160.04",54.955000000000005,80.53208333333333,73.35791666666667,82.85791666666667,62.99458333333333,72.94958333333334,57.969166666666666,few clouds,light rain,sky is clear,broken clouds,sky is clear,broken clouds,scattered clouds
The Killer Inside Me,217277,Crime,Casey Affleck,Kate Hudson,R,2010-06-04,$86.72,$613.31,$469.47,$332.85,$842.84,"$1,816.53",$137.59,68.56750000000001,76.81923076923077,70.23166666666667,82.0388,79.73916666666666,89.02875,53.94083333333333,few clouds,mist,sky is clear,light rain,sky is clear,scattered clouds,overcast clouds
The Kitchen,12180032,Action,Melissa McCarthy,Tiffany Haddish,R,2019-08-08,"$4,861.04","$34,377.03","$26,314.48","$18,656.85","$47,243.02","$101,820.27","$7,712.45",78.7188,88.50875,69.7825,84.08807692307693,75.14740740740741,94.88666666666668,66.14041666666667,few clouds,few clouds,haze,broken clouds,light rain,broken clouds,sky is clear
The Ladykillers,39799191,Comedy,Tom Hanks,Marlon Wayans,R,2004-03-26,"$16,056.21","$113,548.74","$86,917.80","$61,624.35","$156,045.64","$336,316.53","$25,474.55",55.846296296296295,71.14166666666667,62.541666666666664,72.46541666666667,51.850833333333334,75.73666666666666,46.092083333333335,mist,broken clouds,sky is clear,light rain,overcast clouds,scattered clouds,moderate rain
The Last Godfather,164247,Comedy,Jason Mewes,Harvey Keitel,PG-13,2010-12-29,$66.00,$466.73,$357.27,$253.30,$641.41,"$1,382.40",$104.71,24.489583333333332,61.73,55.265517241379314,58.60041666666667,34.70333333333333,51.13583333333333,38.24583333333333,few clouds,broken clouds,sky is clear,few clouds,sky is clear,scattered clouds,overcast clouds
The Life of David Gale,19955598,Crime,Kevin Spacey,Kate Winslet,R,2003-02-21,"$7,904.71","$55,901.75","$42,790.94","$30,338.60","$76,823.61","$165,573.68","$12,541.50",34.06583333333334,62.65108108108109,60.3775,76.43333333333334,34.4125,56.689166666666665,47.669999999999995,sky is clear,moderate rain,sky is clear,scattered clouds,few clouds,overcast clouds,light rain
The Lincoln Lawyer,58009200,Crime,Matthew McConaughey,Marisa Tomei,R,2011-03-17,"$23,402.69","$165,502.65","$126,686.80","$89,820.41","$227,443.88","$490,197.22","$37,130.36",50.705000000000005,70.28208333333333,62.43625,73.0425,51.95208333333333,76.34083333333334,43.451249999999995,overcast clouds,scattered clouds,sky is clear,few clouds,overcast clouds,scattered clouds,light rain
The Longest Yard,158119460,Comedy,Adam Sandler,Burt Reynolds,PG-13,2005-05-27,"$63,790.23","$451,121.37","$345,318.47","$244,829.34","$619,958.63","$1,336,162.52","$101,208.64",62.729166666666664,78.6432,68.12208333333334,79.55583333333333,63.7525,90.42458333333332,66.70541666666666,scattered clouds,light rain,sky is clear,thunderstorm with light rain,overcast clouds,scattered clouds,scattered clouds
The Lookout,4600585,Crime,Joseph Gordon-Levitt,Jeff Daniels,R,2007-03-30,"$1,856.02","$13,125.66","$10,047.26","$7,123.46","$18,038.09","$38,876.49","$2,944.73",46.07833333333334,73.01958333333333,64.93333333333334,74.50541666666666,51.317499999999995,61.9675,50.87083333333334,scattered clouds,broken clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,overcast clouds
The Losers,23591432,Action,Idris Elba,Zoe Saldana,PG-13,2010-04-22,"$9,513.19","$67,276.81","$51,498.17","$36,511.99","$92,455.92","$199,265.13","$15,093.49",42.822916666666664,68.875,52.81125,74.96,58.79541666666666,58.702916666666674,48.37583333333333,scattered clouds,sky is clear,sky is clear,few clouds,light rain,scattered clouds,broken clouds
The Matador,12594698,Comedy,Pierce Brosnan,Greg Kinnear,R,2005-11-16,"$5,081.09","$35,933.19","$27,505.67","$19,501.40","$49,381.60","$106,429.43","$8,061.58",36.4608,55.032916666666665,67.87416666666667,77.66416666666667,63.4264,64.03708333333333,44.90083333333333,light rain,broken clouds,scattered clouds,scattered clouds,mist,few clouds,broken clouds
The Mechanic,29121498,Action,Jason Statham,Ben Foster,R,2011-01-27,"$11,748.50","$83,084.84","$63,598.69","$45,091.21","$114,180.28","$246,086.44","$18,640.00",23.111333333333334,49.770833333333336,61.3125,64.01791666666666,32.581999999999994,59.555416666666666,45.072916666666664,overcast clouds,sky is clear,sky is clear,scattered clouds,mist,few clouds,overcast clouds
The Mexican,66845033,Adventure,Brad Pitt,Julia Roberts,R,2001-03-02,"$26,952.64","$190,607.74","$145,903.92","$103,445.26","$261,944.84","$564,555.23","$42,762.66",34.034,51.85952380952381,52.79749999999999,72.8832,33.93628571428572,52.50375,41.04916666666667,overcast clouds,light rain,sky is clear,scattered clouds,overcast clouds,few clouds,moderate rain
The Mule,103804407,Crime,Clint Eastwood,Patrick L. Reyes,R,2018-12-14,"$41,877.87","$296,158.27","$226,699.35","$160,728.88","$406,998.85","$877,182.09","$66,442.82",39.71235294117647,51.35625,61.338750000000005,75.68666666666667,44.79291666666666,50.38958333333333,49.1025,light rain,broken clouds,sky is clear,broken clouds,mist,few clouds,overcast clouds
The Next Three Days,21148651,Action,Russell Crowe,Elizabeth Banks,PG-13,2010-11-18,"$8,532.01","$60,337.98","$46,186.72","$32,746.19","$82,920.15","$178,713.20","$13,536.77",39.8375,58.564166666666665,62.98333333333333,76.19583333333334,51.20666666666667,62.63166666666667,42.47708333333333,haze,few clouds,sky is clear,few clouds,few clouds,sky is clear,light rain
The Nice Guys,36261763,Action,Russell Crowe,Ryan Gosling,R,2016-05-11,"$14,629.10","$103,456.31","$79,192.38","$56,147.06","$142,176.00","$306,424.07","$23,210.32",56.4375,78.79384615384615,63.33208333333334,79.625,62.31999999999999,81.26083333333334,62.69416666666667,light rain,few clouds,sky is clear,scattered clouds,sky is clear,sky is clear,sky is clear
The Number 23,35193167,Crime,Jim Carrey,Virginia Madsen,R,2007-02-22,"$14,198.00","$100,407.56","$76,858.67","$54,492.47","$137,986.23","$297,394.08","$22,526.34",35.46458333333333,64.31583333333333,56.5725,70.38833333333334,41.221599999999995,57.75416666666666,42.431666666666665,scattered clouds,few clouds,sky is clear,few clouds,sky is clear,few clouds,overcast clouds
The Nut Job,64251541,Adventure,Will Arnett,Brendan Fraser,PG,2014-01-17,"$25,921.04","$183,312.31","$140,319.50","$99,485.93","$251,919.01","$542,947.09","$41,125.94",19.048333333333336,57.19,66.85083333333334,54.23583333333334,38.05833333333333,57.79375,40.66916666666667,snow,sky is clear,sky is clear,sky is clear,scattered clouds,few clouds,scattered clouds
The Nut Job 2: Nutty by Nature,28370522,Adventure,Will Arnett,Maya Rudolph,PG,2017-08-10,"$11,445.54","$80,942.27","$61,958.63","$43,928.41","$111,235.83","$239,740.44","$18,159.32",73.88916666666667,87.80576923076923,76.18249999999999,83.08692307692307,76.15083333333332,97.56458333333336,72.32000000000001,broken clouds,light rain,sky is clear,scattered clouds,sky is clear,few clouds,sky is clear
The Other Guys,119219978,Action,Will Ferrell,Mark Wahlberg,PG-13,2010-08-06,"$48,096.99","$340,139.53","$260,365.55","$184,598.08","$467,440.59","$1,007,448.84","$76,309.98",72.26791666666666,86.14083333333333,70.68333333333334,85.72375,78.36416666666666,99.30083333333332,66.3175,few clouds,few clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,sky is clear
The Pink Panther,82226474,Adventure,Steve Martin,Kevin Kline,PG,2006-02-09,"$33,172.68","$234,595.53","$179,575.12","$127,318.00","$322,395.56","$694,841.31","$52,631.28",24.89307692307693,52.85333333333333,67.97875,60.620000000000005,30.0675,65.09916666666668,42.895,light snow,few clouds,sky is clear,few clouds,few clouds,scattered clouds,sky is clear
The Pink Panther 2,35922978,Action,Steve Martin,Jean Reno,PG,2009-02-05,"$14,492.43","$102,489.74","$78,452.51","$55,622.50","$140,847.69","$303,561.23","$22,993.48",10.126666666666669,55.075,62.43600000000001,51.33416666666667,18.1,64.085,43.74333333333333,sky is clear,sky is clear,sky is clear,sky is clear,sky is clear,few clouds,overcast clouds
The Place Beyond the Pines,21403519,Crime,Ryan Gosling,Bradley Cooper,R,2012-03-20,"$8,626.68","$61,007.43","$46,699.17","$33,109.52","$83,840.16","$180,696.05","$13,686.96",66.00416666666666,66.64296296296295,53.365,75.65833333333333,60.99791666666667,51.60166666666667,43.24208333333333,broken clouds,light rain,sky is clear,scattered clouds,sky is clear,scattered clouds,light rain
The Pledge,19733089,Crime,Jack Nicholson,Benicio Del Toro,R,2001-01-19,"$7,955.62","$56,261.78","$43,066.53","$30,533.99","$77,318.38","$166,640.03","$12,622.28",25.7212,42.838750000000005,52.28708333333333,73.7125,36.06666666666667,44.833333333333336,45.41708333333333,scattered clouds,light rain,sky is clear,sky is clear,light rain,few clouds,overcast clouds
The Producers,19398532,Comedy,Nathan Lane,Matthew Broderick,PG-13,2005-12-16,"$7,817.57","$55,285.46","$42,319.19","$30,004.13","$75,976.66","$163,748.30","$12,403.24",24.012222222222224,44.97083333333333,52.31791666666667,73.40416666666667,43.77294117647059,47.754583333333336,33.4675,mist,broken clouds,sky is clear,scattered clouds,light snow,scattered clouds,sky is clear
The Punisher,33810189,Action,Thomas Jane,John Travolta,R,2004-04-16,"$13,588.46","$96,096.92","$73,559.01","$52,153.03","$132,062.28","$284,626.52","$21,559.25",61.3975,67.16250000000001,62.67291666666667,68.69833333333334,50.8425,77.38625,49.57749999999999,overcast clouds,scattered clouds,sky is clear,few clouds,sky is clear,sky is clear,light rain
The Raven,16008272,Crime,John Cusack,Alice Eve,R,2012-03-09,"$6,458.23","$45,672.26","$34,960.61","$24,786.92","$62,765.62","$135,275.27","$10,246.53",35.374583333333334,56.74444444444445,63.27708333333334,76.14166666666667,50.03333333333333,61.96791666666667,47.615,scattered clouds,overcast clouds,sky is clear,scattered clouds,sky is clear,few clouds,overcast clouds
The Road,8117000,Drama,Viggo Mortensen,Charlize Theron,R,2009-05-01,$48.41,$342.36,$262.07,$185.81,$470.50,"$1,014.04",$76.81,55.7372,77.05,67.60333333333334,75.32125,60.4996,79.04916666666666,55.00958333333333,overcast clouds,few clouds,overcast clouds,scattered clouds,overcast clouds,scattered clouds,scattered clouds
The Rover,1114423,Action,Guy Pearce,Robert Pattinson,R,2014-06-04,$447.48,"$3,164.59","$2,422.39","$1,717.46","$4,348.97","$9,373.10",$709.97,65.04440000000001,81.29666666666667,69.03916666666667,77.8744,71.15375,93.04458333333334,59.28583333333333,few clouds,few clouds,sky is clear,overcast clouds,mist,broken clouds,overcast clouds
The Score,71107711,Crime,Robert De Niro,Edward Norton,R,2001-07-13,"$28,671.77","$202,765.32","$155,210.14","$110,043.33","$278,652.53","$600,564.38","$45,490.20",70.56833333333334,85.24833333333333,76.42166666666667,82.32375,70.78708333333334,97.56291666666664,62.850833333333334,sky is clear,broken clouds,sky is clear,scattered clouds,broken clouds,overcast clouds,sky is clear
The Skulls,35046120,Action,Joshua Jackson,Paul Walker,PG-13,2000-03-31,"$14,138.68","$99,988.03","$76,537.53","$54,264.78","$137,409.68","$296,151.48","$22,432.22",42.5075,64.98708333333333,63.709583333333335,78.09083333333334,47.22291666666666,60.997083333333336,48.149166666666666,few clouds,scattered clouds,sky is clear,sky is clear,scattered clouds,scattered clouds,scattered clouds
The Snowman,6700035,Crime,Michael Fassbender,Rebecca Ferguson,R,2017-10-11,"$2,691.19","$19,031.97","$14,568.34","$10,328.89","$26,154.90","$56,370.20","$4,269.80",58.2442105263158,71.865,69.99041666666666,83.43875,71.5716,80.78791666666667,48.567499999999995,moderate rain,scattered clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,moderate rain
The Taking of Pelham 123,65452312,Action,Denzel Washington,John Travolta,R,2009-06-10,"$26,405.47","$186,738.16","$142,941.88","$101,345.19","$256,627.02","$553,094.01","$41,894.53",59.953333333333326,83.425,65.08333333333333,80.32458333333334,63.07,84.13083333333333,64.36708333333333,overcast clouds,sky is clear,overcast clouds,scattered clouds,overcast clouds,scattered clouds,sky is clear
The Texas Chainsaw Massacre,80571655,Horror,Jessica Biel,Jonathan Tucker,R,2003-10-17,"$32,505.07","$229,874.27","$175,961.14","$124,755.71","$315,907.31","$680,857.54","$51,572.07",47.51833333333334,75.12148148148148,71.54444444444445,79.74125,54.18375,82.70333333333333,62.36166666666667,broken clouds,broken clouds,haze,scattered clouds,overcast clouds,sky is clear,light rain
The Town,92186262,Crime,Ben Affleck,Rebecca Hall,R,2010-09-15,"$37,190.76","$263,011.22","$201,326.38","$142,739.56","$361,446.14","$779,004.87","$59,006.31",67.20666666666666,82.55958333333334,71.2975,83.35375,65.58291666666666,92.00083333333332,60.98916666666667,scattered clouds,sky is clear,sky is clear,scattered clouds,overcast clouds,scattered clouds,few clouds
The Transporter,25296447,Action,Jason Statham,Qi Shu,PG-13,2002-10-11,"$10,205.36","$72,171.81","$55,245.13","$39,168.57","$99,182.93","$213,763.47","$16,191.68",61.711666666666666,67.59793103448276,66.88958333333333,81.8052,59.24161290322581,80.23708333333333,48.73833333333334,scattered clouds,broken clouds,overcast clouds,scattered clouds,light rain,few clouds,scattered clouds
The Watcher,28946615,Crime,James Spader,Keanu Reeves,R,2000-09-08,"$11,670.33","$82,531.98","$63,175.50","$44,791.16","$113,420.51","$244,448.95","$18,515.97",74.63333333333334,79.58166666666666,78.06541666666666,80.9426923076923,65.36125,93.62083333333334,58.65,few clouds,few clouds,few clouds,light rain,sky is clear,scattered clouds,overcast clouds
The Way of the Gun,6055661,Action,Ryan Phillippe,Benicio Del Toro,R,2000-09-08,"$2,443.04","$17,277.05","$13,225.01","$9,376.48","$23,743.18","$51,172.37","$3,876.09",74.63333333333334,79.58166666666666,78.06541666666666,80.9426923076923,65.36125,93.62083333333334,58.65,few clouds,few clouds,few clouds,light rain,sky is clear,scattered clouds,overcast clouds
The Whole Ten Yards,16328471,Comedy,Bruce Willis,Matthew Perry,PG-13,2004-04-07,"$6,585.59","$46,572.96","$35,650.06","$25,275.74","$64,003.41","$137,943.02","$10,448.60",48.171666666666674,67.18379310344827,61.975833333333334,72.10708333333334,52.751666666666665,71.54916666666666,51.569583333333334,few clouds,broken clouds,sky is clear,scattered clouds,sky is clear,few clouds,broken clouds
The Wolf of Wall Street,116900694,Biography,Leonardo DiCaprio,Jonah Hill,R,2013-12-25,"$47,161.32","$333,522.52","$255,300.45","$181,006.94","$458,347.09","$987,850.11","$74,825.46",21.0348,48.900416666666665,62.33583333333333,72.52416666666666,25.580833333333334,55.27708333333334,37.79208333333333,broken clouds,sky is clear,sky is clear,light rain,broken clouds,few clouds,broken clouds
The X Files: I Want to Believe,20982478,Drama,David Duchovny,Gillian Anderson,PG-13,2008-07-23,"$8,464.97","$59,863.88","$45,823.82","$32,488.89","$82,268.61","$177,308.98","$13,430.40",68.20791666666666,81.155,73.87416666666667,81.47791666666667,75.49111111111111,92.87791666666668,59.15208333333334,scattered clouds,scattered clouds,sky is clear,scattered clouds,haze,scattered clouds,broken clouds
The Yards,889352,Crime,Mark Wahlberg,Joaquin Phoenix,R,2000-10-20,$356.11,"$2,518.41","$1,927.76","$1,366.77","$3,460.95","$7,459.20",$565.00,63.75833333333333,68.60583333333334,71.93875,76.80615384615385,55.01125,75.57041666666667,54.91208333333333,sky is clear,scattered clouds,sky is clear,scattered clouds,sky is clear,broken clouds,moderate rain
Torque,21215059,Action,Martin Henderson,Ice Cube,PG-13,2004-03-19,"$8,558.80","$60,527.44","$46,331.75","$32,849.02","$83,180.52","$179,274.37","$13,579.27",36.153749999999995,70.2224,65.87791666666666,72.57708333333333,35.60311111111111,74.98125,43.868750000000006,overcast clouds,scattered clouds,broken clouds,scattered clouds,sky is clear,scattered clouds,light rain
Tower Heist,78046570,Action,Eddie Murphy,Ben Stiller,PG-13,2011-11-03,"$31,486.37","$222,670.10","$170,446.59","$120,845.91","$306,006.89","$659,519.72","$49,955.82",49.08714285714286,61.61000000000001,64.70208333333333,76.07000000000001,51.02,64.69416666666667,46.471666666666664,scattered clouds,few clouds,sky is clear,scattered clouds,sky is clear,sky is clear,overcast clouds
Traitor,23530831,Action,Don Cheadle,Guy Pearce,PG-13,2008-08-27,"$9,493.06","$67,134.44","$51,389.19","$36,434.72","$92,260.25","$198,843.42","$15,061.55",69.01416666666667,82.66291666666667,77.44333333333334,84.10291666666667,70.37875,84.64833333333333,59.63625,few clouds,broken clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,overcast clouds
Trance,2328743,Crime,James McAvoy,Rosario Dawson,R,2013-03-27,$935.63,"$6,616.74","$5,064.89","$3,590.99","$9,093.12","$19,597.91","$1,484.46",37.600833333333334,54.535,59.52666666666667,58.475,44.502916666666664,73.95416666666667,51.45541666666667,overcast clouds,sky is clear,sky is clear,sky is clear,few clouds,scattered clouds,scattered clouds
Transporter 2,43095856,Action,Jason Statham,Amber Valletta,PG-13,2005-08-03,"$17,386.08","$122,953.53","$94,116.86","$66,728.45","$168,970.28","$364,172.29","$27,584.51",82.50916666666667,83.38333333333334,75.12541666666667,83.84333333333333,85.66000000000001,86.15499999999999,64.02708333333334,few clouds,broken clouds,sky is clear,sky is clear,few clouds,light rain,sky is clear
Trapped,7073251,Action,Kevin Bacon,Charlize Theron,R,2002-09-20,$25.23,$178.42,$136.57,$96.83,$245.19,$528.45,$40.03,69.7775,75.35148148148149,75.91250000000001,82.62346153846154,71.09958333333333,82.44083333333333,57.31375,scattered clouds,moderate rain,sky is clear,scattered clouds,scattered clouds,sky is clear,overcast clouds
Trust,120016,Crime,Clive Owen,Catherine Keener,R,2010-04-01,$48.42,$342.41,$262.10,$185.83,$470.56,"$1,014.18",$76.82,67.19208333333334,67.26458333333333,54.3675,69.085,55.72708333333333,65.10041666666667,44.845416666666665,broken clouds,broken clouds,sky is clear,sky is clear,few clouds,scattered clouds,broken clouds
Twisted,25198598,Crime,Ashley Judd,Samuel L. Jackson,R,2004-02-27,"$10,164.45","$71,882.52","$55,023.69","$39,011.56","$98,785.37","$212,906.63","$16,126.77",30.41125,48.880833333333335,53.22416666666667,66.64708333333333,35.46083333333333,60.11958333333333,45.35541666666666,sky is clear,sky is clear,sky is clear,scattered clouds,sky is clear,scattered clouds,light rain
Two for the Money,22991379,Crime,Matthew McConaughey,Al Pacino,R,2005-10-07,"$9,223.25","$65,226.37","$49,928.63","$35,399.19","$89,638.08","$193,191.99","$14,633.47",53.29208333333333,70.29166666666667,75.00291666666666,80.3656,72.55,85.69166666666666,55.12625,broken clouds,few clouds,sky is clear,overcast clouds,overcast clouds,few clouds,light rain
Under Suspicion,260562,Crime,Morgan Freeman,Gene Hackman,R,2000-09-22,$104.36,$738.06,$564.96,$400.55,"$1,014.28","$2,186.03",$165.58,58.41291666666667,80.73791666666666,67.44208333333333,83.14375,62.75083333333333,87.76166666666667,57.846666666666664,sky is clear,broken clouds,overcast clouds,light rain,broken clouds,scattered clouds,broken clouds
Undisputed,12764657,Action,Wesley Snipes,Ving Rhames,R,2002-05-31,"$5,149.65","$36,418.09","$27,876.85","$19,764.57","$50,047.98","$107,865.64","$8,170.36",75.47208333333333,73.94423076923077,72.53833333333334,77.64592592592592,73.27291666666666,93.43333333333334,56.46208333333333,scattered clouds,overcast clouds,few clouds,light rain,scattered clouds,sky is clear,few clouds
Unknown,63686397,Action,Liam Neeson,Diane Kruger,PG-13,2011-02-17,$58.25,$411.97,$315.35,$223.58,$566.16,"$1,220.20",$92.43,45.48166666666666,65.87208333333334,51.20458333333334,70.77875,49.89875,65.43666666666667,38.96125,overcast clouds,overcast clouds,overcast clouds,scattered clouds,overcast clouds,scattered clouds,light rain
Unleashed,24537621,Action,Jet Li,Bob Hoskins,R,2005-02-02,"$9,892.48","$69,959.12","$53,551.39","$37,967.71","$96,142.11","$207,209.77","$15,695.26",26.647499999999997,44.84607142857143,58.524166666666666,69.48041666666667,32.85375,54.95625,49.36833333333333,overcast clouds,moderate rain,sky is clear,scattered clouds,sky is clear,scattered clouds,scattered clouds
Unstoppable,81562942,Action,Denzel Washington,Chris Pine,PG-13,2010-11-10,$39.74,$281.05,$215.13,$152.53,$386.23,$832.43,$63.05,56.384166666666665,68.2208,57.87833333333333,69.06833333333334,51.32653846153846,57.64208333333334,46.220416666666665,sky is clear,sky is clear,haze,sky is clear,overcast clouds,sky is clear,light rain
Untraceable,28687835,Crime,Diane Lane,Colin Hanks,R,2008-01-23,"$11,573.55","$81,847.58","$62,651.61","$44,419.73","$112,479.96","$242,421.84","$18,362.43",12.204333333333333,48.17333333333334,52.22,73.6425,36.72375,51.43833333333333,32.639583333333334,sky is clear,overcast clouds,overcast clouds,light rain,overcast clouds,scattered clouds,sky is clear
Vantage Point,72266306,Action,Dennis Quaid,Forest Whitaker,PG-13,2008-02-20,"$29,154.44","$206,178.76","$157,823.02","$111,895.85","$283,343.49","$610,674.55","$46,256.01",11.371199999999998,61.83730769230769,55.0248275862069,70.995,29.359166666666667,58.82916666666667,46.98166666666666,scattered clouds,broken clouds,overcast clouds,light rain,few clouds,scattered clouds,broken clouds
Veronica Guerin,1571504,Biography,Cate Blanchett,Colin Farrell,R,2003-09-11,$633.99,"$4,483.57","$3,432.02","$2,433.29","$6,161.59","$13,279.74","$1,005.88",74.23333333333333,78.1092,74.69625,81.2432,68.65666666666667,83.02958333333333,61.0025,haze,broken clouds,sky is clear,scattered clouds,sky is clear,scattered clouds,light rain
Veronica Mars,3322127,Crime,Kristen Bell,Jason Dohring,PG-13,2014-03-13,"$1,339.03","$9,469.56","$7,248.63","$5,139.25","$13,013.64","$28,047.59","$2,124.49",19.1175,57.24583333333334,63.09166666666667,73.41083333333333,31.36296296296296,70.27499999999999,47.48500000000001,few clouds,sky is clear,sky is clear,scattered clouds,moderate rain,scattered clouds,sky is clear
Walking Tall,46437717,Action,Dwayne Johnson,Ashley Scott,PG-13,2004-04-02,"$18,734.40","$132,488.73","$101,415.74","$71,903.33","$182,074.13","$392,414.30","$29,723.72",39.11958333333333,68.16166666666666,58.25884615384616,65.81583333333333,45.217200000000005,62.5659375,47.5525,sky is clear,few clouds,light rain,scattered clouds,overcast clouds,scattered clouds,few clouds
Wanted,134508551,Action,Angelina Jolie,James McAvoy,R,2008-06-26,"$54,264.87","$383,758.46","$293,754.40","$208,270.63","$527,384.40","$1,136,642.42","$86,095.84",77.6375,80.7296153846154,72.02875,82.24416666666666,76.26520000000001,94.17916666666667,58.30458333333333,broken clouds,overcast clouds,sky is clear,few clouds,sky is clear,thunderstorm with rain,few clouds
We Own the Night,28563179,Crime,Joaquin Phoenix,Mark Wahlberg,R,2007-10-12,"$11,523.26","$81,491.93","$62,379.38","$44,226.71","$111,991.21","$241,368.45","$18,282.64",50.7825,71.66916666666667,64.95166666666667,80.49291666666666,58.3,77.28541666666666,52.68541666666667,overcast clouds,few clouds,few clouds,few clouds,moderate rain,few clouds,overcast clouds
We're the Millers,150394119,Comedy,Jason Sudeikis,Jennifer Aniston,R,2013-08-29,"$60,673.59","$429,080.65","$328,447.03","$232,867.56","$589,668.92","$1,270,880.80","$96,263.83",75.54208333333334,86.7275,77.2,82.72375,74.14481481481481,89.42708333333333,68.5275,scattered clouds,few clouds,sky is clear,scattered clouds,light rain,scattered clouds,overcast clouds
What's the Worst That Could Happen?,32269834,Comedy,Martin Lawrence,Danny DeVito,PG-13,2001-06-01,"$12,948.23","$91,569.27","$70,093.25","$49,695.82","$125,840.10","$271,216.21","$20,543.48",55.5,77.87576923076924,74.8575,79.66142857142857,60.127916666666664,93.79083333333334,59.165,light rain,moderate rain,sky is clear,scattered clouds,sky is clear,few clouds,scattered clouds
Where the Money Is,5661798,Comedy,Paul Newman,Linda Fiorentino,PG-13,2000-04-14,"$2,282.99","$16,145.19","$12,358.61","$8,762.20","$22,187.71","$47,819.94","$3,622.16",54.37166666666667,60.92083333333333,61.57083333333333,74.44624999999999,45.71041666666667,77.64291666666666,50.27666666666667,scattered clouds,broken clouds,sky is clear,overcast clouds,scattered clouds,sky is clear,moderate rain
Where the Truth Lies,872142,Crime,Kevin Bacon,Colin Firth,R,2005-10-07,$351.60,"$2,486.50","$1,903.34","$1,349.46","$3,417.10","$7,364.70",$557.84,53.29208333333333,70.29166666666667,75.00291666666666,80.3656,72.55,85.69166666666666,55.12625,broken clouds,few clouds,sky is clear,overcast clouds,overcast clouds,few clouds,light rain
White Boy Rick,24011188,Crime,Matthew McConaughey,Richie Merritt,R,2018-09-14,"$9,686.85","$68,504.91","$52,438.24","$37,178.49","$94,143.65","$202,902.60","$15,369.01",70.80749999999999,76.62411764705882,77.58916666666667,83.74777777777778,72.52,92.3725,59.11333333333334,sky is clear,moderate rain,sky is clear,light rain,overcast clouds,few clouds,broken clouds
